Pais;CasesPorAño;Cob_Serv_San_%;Gasto_Salud_%;Den_Pobla_x_Kil
Romania;556335;48,57;4,790915367;84,77688494
Russian Federation;2653928;41,43;4,764294806;8,872071259
Rwanda;6659;45,71;6,446956018;511,8922415
Saint Lucia;275;17,14;3,834310983;303,4230371
Saint Vincent and the Grenadines;98;17,14;4,159893384;285,1125506
Sao Tome and Principe;1009;28,57;6,04961502;225,1726608
Saudi Arabia;359888;35,71;5,888354318;16,1578513
Senegal;17075;55,71;3,785054001;84,63631405
Serbia;266432;51,43;7,485634919;79,96911591
Seychelles;187;27,14;4,466937526;214,4614798
Sierra Leone;2440;42,86;14,94480802;108,5625022
Singapore;58320;44,29;3,983380727;8142,896943
Slovakia;132984;45,71;6,114849556;114,2028055
Slovenia;96314;40;7,775542074;103,8287772
Solomon Islands;17;31,43;3,784354477;23,99094038
South Africa;860964;45,71;8,207731477;48,80547348
South Sudan;3206;34,29;2,956501739;17,88708141
Spain;1730575;52,86;8,604783268;94,79836154
Sri Lanka;32790;42,86;3,758836367;356,9174804
Sudan;21386;35,71;12,49738763;23,60204109
Suriname;5353;30;6,921844257;3,755218961
Sweden;320098;47,14;10,76235676;25,21501521
Switzerland;372329;35,71;11,00130471;218,2015284
Syrian Arab Republic;9166;32,86;0,240620763;94,39601687
Tajikistan;12704;34,29;6,184567293;67,33222016
Thailand;4237;42,86;3,23028471;138,7271041
Timor-Leste;31;40;5,336717453;87,12306658
Togo;3251;38,57;5,638564998;149,1055483
Trinidad and Tobago;6879;28,57;5,916765473;274,5186075
Tunisia;111361;42,86;7,114090975;76,09612445
Turkey;995471;38,57;4,040051492;109,4298877
Uganda;27532;48,57;5,094788766;219,3111885
Ukraine;900666;38,57;5,654957529;77,1005824
United Arab Emirates;184949;45,71;3,917093414;140,3175258
United Kingdom of Great Britain and Northern Ireland;1849403;45,71;9,601430643;276,6901761
United Republic of Tanzania;509;40;3,041559275;65,4000772
United States of America;16256754;47,14;15,23884035;36,26301656
Uruguay;9708;50;9,201993588;19,88397105
Uzbekistan;75094;35,71;4,468455346;76,70367512
Vanuatu;1;25,71;3,180764538;24,6631694
Venezuela (Bolivarian Republic of);107177;41,43;1,534796396;33,54352914
Viet Nam;1397;40;5,043235971;315,307462
Yemen;2083;37,14;0,370640858;54,26142879
Zambia;18274;38,57;5,386201255;24,01112306
Zimbabwe;11246;41,43;8,519814844;38,28003483
